"","site_zone","year","mean.kd","min.kd","max.kd"
"1","LK1-I",2015,0.0954809523809524,0.0561333333333333,0.137966666666667
"2","LK1-I",2016,0.111874027777778,0.0701666666666667,0.148766666666667
"3","LK1-I",2017,0.118728260192966,0.0620666666666667,0.177733333333333
"4","LK1-I",2018,0.10935667989418,0.0748333333333333,0.14095
"5","LK1-I",2019,0.0666,0.0666,0.0666
"6","LK1-O",2015,0.0595949843674844,0.0479166666666667,0.0770166666666667
"7","LK1-O",2016,0.0602332142857143,0.0452166666666667,0.0835833333333333
"8","LK1-O",2017,0.0633410978835979,0.0389,0.0923
"9","LK1-O",2018,0.060844702982203,0.0427,0.0898666666666667
"10","LK1-O",2019,0.059,0.059,0.059
"11","UK1-I",2015,0.098530606060606,0.0658181818181818,0.135163636363636
"12","UK1-I",2016,0.125206363636364,0.0862909090909091,0.168127272727273
"13","UK1-I",2017,0.106239312169312,0.0686,0.1676
"14","UK1-I",2018,0.114189833333333,0.09774,0.1424
"15","UK1-O",2015,0.0701917592592593,0.0467833333333333,0.1095
"16","UK1-O",2016,0.0852355158730159,0.0521666666666667,0.128916666666667
"17","UK1-O",2017,0.0692044017094017,0.0487333333333333,0.108733333333333
"18","UK1-O",2018,0.0706345833333333,0.0551666666666667,0.105816666666667
"19","UK2-I",2015,0.17399696969697,0.166709090909091,0.180672727272727
"20","UK2-I",2016,0.169583333333333,0.16255,0.177125
"21","UK2-I",2017,0.1790837999038,0.155,0.2024
"22","UK2-I",2018,0.136957063492063,0.0907,0.173483333333333
"23","UK2-O",2015,0.0709499501424501,0.0443,0.108483333333333
"24","UK2-O",2016,0.0686733333333333,0.0431166666666667,0.105783333333333
"25","UK2-O",2017,0.0761927575202575,0.0422166666666667,0.123383333333333
"26","UK2-O",2018,0.080763373015873,0.0512333333333333,0.138333333333333
"27","UK2-O",2019,0.0474,0.0474,0.0474
